,words,counts
0,to,33
1,i,18
2,we,15
3,used,13
4,but,11
5,the,11
6,now,10
7,out,10
8,wish,10
9,pretend,9
10,you,9
11,and,9
12,our,9
13,play,9
14,when,9
15,sang,8
16,it,8
17,time,7
18,of,7
19,we're,7
20,a,7
21,back,7
22,stressed,7
23,us,7
24,money,7
25,good,6
26,sleep,6
27,turn,6
28,old,6
29,days,6
30,my,6
31,could,6
32,momma,6
33,would,6
34,care,5
35,up,5
36,think,5
37,wake,5
38,need,5
39,what,5
40,name's,4
41,make,4
42,blurryface,4
43,then,3
44,they're,3
45,space,3
46,laughing,3
47,some,3
48,found,3
49,rocket,3
50,different,3
51,at,3
52,away,3
53,yeah,3
54,better,3
55,build,3
56,sell,3
57,we'd,3
58,dream,3
59,each,3
60,ship,3
61,outer,3
62,face,3
63,far,3
64,fly,3
65,give,3
66,other,3
67,names,3
68,singing,2
69,never,2
70,same,2
71,from,2
72,take,2
73,all,2
74,that,2
75,i'm,2
76,i'd,2
77,ever,2
78,was,2
79,have,2
80,student,1
81,saying,1
82,words,1
83,will,1
84,where,1
85,shrink,1
86,voice,1
87,stone's,1
88,try,1
89,tree,1
90,smell,1
91,throw,1
92,sometimes,1
93,sounds,1
94,told,1
95,new,1
96,roam,1
97,identify,1
98,house,1
99,homes,1
100,home,1
101,heard,1
102,had,1
103,grown,1
104,get,1
105,fears,1
106,every,1
107,didn't,1
108,creek,1
109,coming,1
110,come,1
111,clothes,1
112,chords,1
113,certain,1
114,cause,1
115,candle,1
116,brother,1
117,be,1
118,an,1
119,how,1
120,if,1
121,rhyme,1
122,in,1
123,remind,1
124,really,1
125,probably,1
126,people,1
127,order,1
128,only,1
129,one's,1
130,one,1
131,older,1
132,nothing,1
133,nose,1
134,no,1
135,able,1
136,me,1
137,mattered,1
138,loans,1
139,latter,1
140,it's,1
141,it'd,1
142,is,1
143,insecure,1
144,young,1
